575.561,0.286
576.563,0.286
577.565,0.429
578.568,0.286
601.471,0.286
602.616,0.286
603.618,0.286
604.620,0.286
747.397,0.441
748.336,0.286
749.481,0.384
758.686,0.352
760.647,0.286
761.649,0.286
782.574,0.483
785.554,0.286
786.699,0.286
796.571,0.497
806.634,0.421
807.598,0.286
808.526,0.377
810.604,0.286
811.606,0.286
820.621,0.477
822.485,0.286
823.630,0.286
824.549,0.391
825.634,0.286
828.497,0.286
832.648,0.286
834.652,0.286
848.537,0.286
849.682,0.286
850.541,0.286
872.585,0.286
879.742,0.286
881.746,0.286
895.774,0.286
897.778,0.286
